playlist_id,track_id,added_at,popularity
37i9dQZF1DXcBWIGoYBM5M,7ABLbnD53cQK00mhcaOUVG,2023-10-20T04:00:00Z,98
37i9dQZF1DXcBWIGoYBM5M,59NraMJsLaMCVtwXTSia8i,2023-10-20T04:00:00Z,94
37i9dQZF1DXcBWIGoYBM5M,6iF4RgIjDvDqyW13PezSj3,2023-10-20T04:00:00Z,89
37i9dQZF1DXcBWIGoYBM5M,4Dvkj6JhhA12EX05fT7y2e,2023-10-20T04:00:00Z,95
37i9dQZF1DXcBWIGoYBM5M,6fNCrsrdIcgVd2aZZ0nnz4,2023-10-20T04:00:00Z,89
37i9dQZF1DXcBWIGoYBM5M,2i2gDpKKWjvnRTOZRhaPh2,2023-10-20T04:00:00Z,88
37i9dQZF1DXcBWIGoYBM5M,1kuGVB7EU95pJObxwvfwKS,2023-10-20T04:00:00Z,96
37i9dQZF1DXcBWIGoYBM5M,7DSAEUvxU8FajXtRloy8M0,2023-10-20T04:00:00Z,90
37i9dQZF1DXcBWIGoYBM5M,2dHHgzDwk4BJdRwy9uXhTO,2023-10-20T04:00:00Z,92
37i9dQZF1DXcBWIGoYBM5M,6dgUya35uo964z7GZXM07g,2023-10-20T04:00:00Z,90
37i9dQZF1DXcBWIGoYBM5M,7KokYm8cMIXCsGVmUvKtqf,2023-10-20T04:00:00Z,89
37i9dQZF1DXcBWIGoYBM5M,23RoR84KodL5HWvUTneQ1w,2023-10-20T04:00:00Z,92
37i9dQZF1DXcBWIGoYBM5M,6gcuJpHu0Ey30D5WR76y98,2023-10-20T04:00:00Z,82
37i9dQZF1DXcBWIGoYBM5M,6AQbmUe0Qwf5PZnt4HmTXv,2023-10-20T04:00:00Z,89
37i9dQZF1DXcBWIGoYBM5M,73RbfOTJIjHzi2pcVHjeHM,2023-10-20T04:00:00Z,88
37i9dQZF1DXcBWIGoYBM5M,739WUU1tPFLO4x4HJq561K,2023-10-20T04:00:00Z,79
37i9dQZF1DXcBWIGoYBM5M,6GGtHZgBycCgGBUhZo81xe,2023-10-20T04:00:00Z,90
37i9dQZF1DXcBWIGoYBM5M,0mflMxspEfB0VbI1kyLiAv,2023-10-20T04:00:00Z,86
37i9dQZF1DXcBWIGoYBM5M,59uQI0PADDKeE6UZDTJEe8,2023-10-20T04:00:00Z,88
37i9dQZF1DXcBWIGoYBM5M,3XB5uhhlYSnkxpSihkNQwh,2023-10-20T04:00:00Z,90
37i9dQZF1DXcBWIGoYBM5M,2FDTHlrBguDzQkp7PVj16Q,2023-10-20T04:00:00Z,94
