feature,encoding,spotify_id,value,feature_id,name
acousticness,high,0pNp4untlQyZU1FZU2J0W2,0.965,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0pRqj4CrVCHOjDngEXZxcz,0.696,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0piVRtRDlflmgSz12ZB8b6,0.771,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0qCPD6ilr9nXkI4KVZgcns,0.783,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0qcr5FMsEO85NAQjrlDRKo,0.558,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0qdbaqa5piAZn8X5hYTqo7,0.827,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0qvzXomUDJVaUboy2wMfiS,0.712,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0rAsn40XCigrz7XZNxV2pr,0.588,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0rKtyWc8bvkriBthvHKY8d,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0rY1FvyyqOYSdxnKfBGjj3,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0rcaFqednwwedMu68xpKlj,0.917,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0sY6ZUTh4yoctD8VIXz339,0.92,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0uukVUEWsYDhIZTEYYUVYT,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0wHL0us03JZjzExvWffqE1,0.572,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0wavGRldH0AWyu2zvTz8zb,0.964,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0wihfILRNOwE2156Shezc8,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0wxsMYEAB6sP0D4qLIEJdC,0.934,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0xMwZLKcL91gNZD8xdUz4b,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0xaFw2zDYf1rIJWl2dXiSF,0.763,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0xxJFCgRXDbRJeUlwb4m00,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0yUaLqhsVsguBpoOPL4cO7,0.696,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0zcvETeNHWNO050bqZAjOs,0.728,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,1155sK5VOJc7DC23kdiJjU,0.967,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,11ozTm1ilFrLxwtdWt1iK0,0.913,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,12M5uqx0ZuwkpLp5rJim1a,0.781,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,12qK71JxLUYTgak89YnDQ0,0.578,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,13ks10TjWmDaVL4iO8R5dV,0.563,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,15SPWU4M4H0yhK5Nto68Kb,0.992,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
