track_uuid,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
e04de084-31f8-42f8-988e-725482451aa9,138,F,Minor,49,42,62,9,0,11,3
84a9269f-c64d-4f88-9fc5-7231aa7dd8af,132,E,Major,58,27,48,50,0,12,3
81d3ae7c-ca1f-41ae-ab01-e5f484e487e1,131,D,Major,71,24,47,1,0,27,9
a991096e-2062-48bd-8d10-2275abaaabb0,168,F#,Minor,78,58,73,5,0,10,7
58d64a8e-bb51-4ddb-ba88-b3faa7e5edef,98,C#,Major,68,40,79,33,0,30,6
479b841c-c626-47b4-bab7-a634fa7283b4,102,C#,Major,48,50,73,43,0,15,4
8ffa5b31-d9ae-4bea-8864-d233eff91ea3,101,A#,Major,34,32,57,78,0,20,3
2bb54552-3e89-43fa-ab37-2ed9f6d2e8cd,130,F,Major,63,36,34,76,0,35,9
84abb059-016d-49bc-847c-d6fe9cb71f02,142,D,Major,50,20,64,1,0,12,3
c1c7f95c-9716-43c3-acf9-35d36188a66a,170,C#,Major,59,48,76,4,0,10,5
ace30ada-95df-4357-820e-6a0588d76a4a,124,G#,Minor,78,70,68,3,1,11,4
bba07cd6-bcf6-477b-8bbd-6f4936c68685,110,C#,Major,50,45,41,75,0,11,3
1e9141a1-948f-4580-b7ae-2067ad1cc561,92,C#,Minor,91,43,71,9,0,9,8
a30358df-1ce6-40d0-8528-0c153ec3f793,116,D,Major,82,40,66,39,51,25,7
7e4e0609-ec68-4d39-aa6e-84bb34a2eb0c,129,A,Major,63,84,82,70,8,9,7
8f5e4b33-de81-4742-8907-84ed972db9c0,98,G#,Major,71,67,60,19,0,12,3
176ce658-86dc-4280-b9cf-0a05e06646c5,172,C#,Minor,74,76,76,6,0,10,9
e6f7a075-8fe9-4a92-b25e-a3bf3aac910a,150,D,Major,68,14,76,4,0,10,4
ecbab0c1-8daa-4462-a10c-66fc2fcac00a,136,A,Minor,62,19,53,11,0,6,4
095f0eda-fc56-48ff-b6dc-bbb4dce1c9ea,88,C#,Minor,53,34,47,9,0,83,4
0a433acc-c421-479d-b564-f18c919269ad,143,D#,Major,83,69,44,15,0,10,33
9c4de32a-6bc8-4525-8e55-c9bc7e1e7c16,100,F#,Minor,49,17,35,71,9,11,3
c0153cf6-7ab0-42da-b0c0-31ff29fd663d,143,F,Major,56,39,55,14,0,11,13
f0b5970f-103e-451c-831e-f9686833a36f,112,C#,Minor,56,24,66,7,0,12,3
c6d417d2-63a3-42ad-ba12-e9c4ef7bd8d8,93,G,Major,62,57,59,3,0,38,3
ba3322fc-7429-4520-af7a-67317447c83a,206,G,Major,43,50,55,50,0,15,10
4d94493c-4a14-46dc-a9eb-0beac561be6a,88,G,Minor,68,17,71,15,0,11,5
4bfad302-ea12-4981-98e8-86013e01722a,170,D,Major,50,37,90,0,0,12,5
ea2540b6-4687-4e66-95fc-23668862defb,84,E,Minor,62,24,67,21,0,13,28
f1652422-7e92-4c16-b168-fa57b5ef635b,134,E,Minor,81,53,72,51,0,12,5
48184fbf-0bfa-47fe-8948-f70951125979,158,A#,Major,54,50,40,61,0,10,6
ac1499b5-72a2-4134-8be1-ac8bbe7fa339,116,C#,Major,80,92,80,4,0,10,3
1f4c5f2f-2d1f-4523-a33e-5d7c5922fded,117,C#,Major,61,45,69,2,0,9,3
032add23-66f1-453d-9634-b495caff6f23,114,F,Minor,77,65,72,2,0,7,5
aaa5785a-5211-41b1-bd0c-d8a524e6038c,108,D,Minor,61,47,68,0,0,13,3
548f3173-cdcd-49d0-98a8-921772a98522,144,E,Minor,74,37,53,7,0,21,10
2dad5232-db12-49c1-bd1c-0063938fda30,130,F,Major,51,18,44,76,0,11,3
bfa1668c-2a61-4839-83ad-20790b1396cd,116,B,Major,77,79,62,33,1,15,3
a13eb3ea-fc63-42ea-9e4f-1695e46c2272,121,G,Major,65,49,78,0,0,17,4
8793819d-3004-4fc9-9343-253eacbd526d,112,G,Major,64,54,81,36,0,11,6
512a0f56-9b3a-41b2-b7ba-863ad49f6697,100,A#,Minor,70,47,52,30,0,6,33
6cc634f5-aa86-418f-a902-34b193d26e19,150,D#,Minor,55,30,78,24,0,12,8
6bf1651f-15c5-44cf-81bf-bb57342e53ad,120,F,Minor,84,96,71,18,0,34,17
d1d82aa2-4ad1-400f-a3c2-7ef6c914c2b3,127,B,Minor,82,89,85,4,0,23,6
a6ea2f52-5c24-4ffe-b2de-6e28f7c472a4,90,F,Major,51,42,61,53,0,9,3
457f56cd-6292-4418-a29b-140d8ee90728,128,A,Minor,75,79,63,33,0,15,4
9c17402b-7bdf-420c-b76c-a476b05aaaa8,143,A,Major,64,31,87,4,4,8,4
eae85a8e-64f8-4a18-91b1-4757a6155480,139,G#,Major,74,68,68,3,0,26,4
adbc0aa2-79cf-40b9-b892-d8817af7ca59,162,A#,Major,49,78,64,19,0,11,4
c6c1755a-6586-47e3-b17b-b6a76307fbd3,92,,Major,81,39,60,31,0,7,3
503977c1-05d0-462c-917c-6a374d0b3c57,95,F,Major,87,57,55,10,0,29,7
5a2c06e3-59c8-466f-a60d-9431c0e2f585,146,D,Major,63,88,93,3,0,10,8
94dc104f-04d9-4874-81d9-2d98bfc7f43b,95,,Major,55,56,82,12,0,34,5
ea172352-a82e-4844-bc8b-68fdec6d9b64,115,E,Minor,35,12,30,93,0,10,3
8d77a6b4-8e88-4ff1-9406-469037bf9156,128,B,Major,78,59,65,10,0,26,5
169d3aaf-0b49-4ddf-90f5-8df93a68c16d,130,E,Minor,82,69,83,3,0,27,5
68f40e99-1733-48d4-9bfd-521846ab64d6,127,A,Minor,80,74,77,36,0,11,4
43d88928-23f5-4585-8b2c-ef986edc245a,150,D,Major,42,20,86,21,0,9,9
aa8ec47a-dc8d-4b62-b6b6-8a54c3b1e61a,122,D,Minor,78,50,63,27,0,9,5
aee19931-2919-45a8-b2a4-8356a2aaf224,140,,Major,52,20,85,0,0,7,5
c8e4c1a7-a8a1-4592-9538-a00a01439260,140,,Major,63,22,54,46,0,12,8
8081d408-33d7-4411-8f4a-3a773ae09cf8,119,C#,Minor,75,48,53,18,0,18,34
3f7d9233-742a-4add-8db0-2a0e503caf06,110,G,Minor,76,96,72,32,0,9,4
63d0438d-bacd-466b-9dba-b8485fa933f4,95,G#,Major,60,17,45,16,0,11,2
4918f1ff-393b-4d5b-82db-1ef2231d20cb,132,F#,Major,56,20,55,45,1,32,3
c27fb5f9-6557-4d7f-9162-2ca3550cc226,125,A#,Minor,77,74,78,4,0,23,11
335189b8-f01d-484c-a03b-e26134845c00,124,D#,Minor,84,65,50,67,0,13,6
595cd379-f101-412e-9c9e-f3162c231c78,133,B,Minor,93,68,65,42,0,12,25
4338559e-68ef-4285-9b2a-401369f997a2,112,G,Major,92,67,66,0,0,36,9
d08a48d3-3c67-47ab-9979-3e4df723c7bc,97,,Major,79,92,89,5,0,6,5
c688e286-5903-45ff-9395-1718c3e16143,90,F,Minor,59,52,48,38,5,10,11
bcc25fb4-6c94-43b6-b701-089c50978cd8,80,D#,Minor,65,27,69,8,0,53,4
d9c766e4-27ca-4636-9443-75fa7da6c9af,172,A,Major,45,33,59,6,0,8,3
4911e41d-5373-4f63-a512-b2e5da7dab96,120,E,Major,60,24,35,73,0,31,3
eaf77853-7707-45ff-b8e2-60ee33f3d818,140,G,Minor,74,96,80,18,0,5,5
acfd662a-42cd-4705-8002-67b8f6af600c,128,A,Minor,81,90,77,1,0,9,5
8f2462d7-95e0-46f6-8e14-e423be9a8879,122,,Major,78,70,81,57,0,10,5
676d9d99-cb22-4a6e-8a08-093d04df1b4e,130,,Major,47,86,92,8,0,5,24
6ca6abe7-5062-4323-b216-825247e00219,160,A,Major,69,61,71,33,0,31,20
82a6e1c6-c596-4914-a422-8106b3eb139c,144,F,Major,73,87,70,6,0,28,5
bd197ee4-d96b-4ba6-8ca3-4bec3f8be2e4,192,B,Major,50,85,52,11,0,28,6
e55afc5c-8c29-47aa-a990-784bfee8b98b,163,,Major,54,40,67,0,0,9,17
18145b93-b0d1-4b5a-a199-53467e389401,122,C#,Minor,66,48,71,6,0,12,4
7a487a6d-cb8a-4d88-9569-dabe6c5a74cd,154,D,Major,61,41,74,21,0,40,6
2ce0e17b-3798-480c-8594-cb6b45c25fee,117,A,Minor,73,31,69,6,0,11,4
c2bf8140-d636-4717-865f-d5091403837c,138,G,Minor,78,89,83,10,0,12,5
575db639-f0e6-4f50-87df-829211db5944,96,,Major,86,74,80,33,0,8,6
c8927c62-5657-4844-8b3b-6bccc70c67f6,104,C#,Major,77,36,63,1,0,36,5
0f3d0102-2e88-4adb-8733-b5472a5dc5f7,164,G#,Major,45,24,62,8,0,16,3
3f5efc3e-43cc-4602-b010-39a877d597a0,118,,Major,68,61,82,2,0,50,3
828ad1ae-4500-4ae7-ab0f-060154375970,81,B,Minor,68,51,60,3,0,19,10
b430509e-f875-4f96-a84e-e84052d9b15a,117,C#,Major,82,73,45,54,0,7,3
4428329e-db65-4fe6-9df9-d83d91f838d4,174,D,Major,45,10,37,97,25,64,4
7f87a68a-2156-427d-be55-612f42ab84b4,128,C#,Major,73,60,77,3,0,11,4
19bfb448-8b9b-448f-93b1-739ba15482fc,145,,Major,60,43,27,94,0,14,4
bac02b72-e897-4be1-8758-6e7dd1388ece,150,C#,Minor,65,51,55,73,0,14,3
dc618743-8f43-4d5c-84af-b42b75d555e7,90,A,Minor,60,13,53,4,0,21,4
33404d85-bb7e-4484-8705-e8e8db9a5a33,85,F,Major,55,42,53,17,0,22,3
24d1e481-d9f6-465a-8c7f-3f7f43352bfc,180,D#,Major,33,38,71,20,0,28,5
616582ac-1241-482e-b7f5-75b2d321bd77,166,C#,Major,57,84,94,11,0,37,9
310741b3-5985-4b10-9c45-3c832e18eb4a,160,G#,Major,71,40,50,16,0,16,22
e8767736-038d-4cff-b5ee-15a1047ba42d,160,G,Major,65,95,80,5,0,41,16
0e21f62e-0db8-48bf-89bd-4b67e652f248,92,D,Major,70,81,63,4,0,8,4
b57e9290-db94-4df5-8f9e-47d8897d9732,170,,Major,56,53,64,11,0,45,6
8737975e-95d1-4401-a325-4b5d1b302ad4,96,C#,Minor,83,93,65,58,0,9,8
9dca4516-54e7-4946-a0f0-fbcdd832f1a7,120,G#,Major,67,40,52,86,0,12,4
