spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability_encoded,energy_encoded,speechiness_encoded,acousticness_encoded,liveness_encoded,valence_encoded,tempo_encoded,duration_ms_encoded,loudness_encoded,instrumentalness_encoded,mode_encoded,key_encoded,time_signature_encoded
76oWPUkQO7R7CuuRRhUEtD,0.182,0.0461,8.0,-25.594,1.0,0.0559,0.992,0.948,0.105,0.0364,76.093,192733.0,3.0,low,low,medium,high,low,low,low,medium,low,high,Major,G#,3.0
76tZM5yJNhGTEiFEVUOX0G,0.144,0.00254,10.0,-41.545,0.0,0.0505,0.993,0.964,0.11,0.0697,140.898,181395.0,4.0,low,low,medium,high,medium,low,high,medium,low,high,Minor,A#,4.0
7712gjoih4QoDbXpljEk21,0.7,0.509,7.0,-10.547,1.0,0.0789,0.112,3.27e-05,0.137,0.345,110.947,196259.0,4.0,medium,low,medium,medium,medium,low,medium,medium,low,low,Major,G,4.0
77dMSg2VHi2wwXjXNrmcrZ,,,,,,,,,,,,,,high,high,high,high,high,high,high,high,low,low,,,
77khP2fIVhSW23NwxrRluh,0.683,0.375,0.0,-13.056,1.0,0.0303,0.579,0.0,0.076,0.888,140.467,135533.0,4.0,medium,low,low,high,low,high,high,low,low,low,Major,C,4.0
78Du4CMFgnhdlG33gblkiP,0.678,0.264,10.0,-12.384,1.0,0.0622,0.753,0.0,0.302,0.528,121.722,187244.0,4.0,medium,low,medium,high,high,medium,medium,medium,low,low,Major,A#,4.0
78H4vN6dPXec4ZajXEBV68,0.667,0.734,11.0,-6.711,1.0,0.0266,0.028,9.21e-06,0.242,0.527,98.034,176327.0,4.0,medium,medium,low,low,high,medium,low,medium,low,low,Major,B,4.0
78Kr4lzSgXyE11fq4ncILK,,,,,,,,,,,,,,high,high,high,high,high,high,high,high,low,low,,,
78cOPjCQq0udcH2tqfeDEN,0.547,0.832,6.0,-7.355,1.0,0.0503,0.0203,0.0,0.139,0.687,124.172,159144.0,4.0,low,high,medium,low,medium,high,medium,low,low,low,Major,F#,4.0
78kygHp1dvW1kncYjBgbe1,0.758,0.621,9.0,-8.033,1.0,0.125,0.0628,0.0,0.0809,0.92,79.949,142500.0,4.0,high,medium,high,low,low,high,low,low,low,low,Major,A,4.0
78psoPmt6L9Aa2tdWhkpY6,0.482,0.612,2.0,-6.946,1.0,0.0369,0.0004,0.0213,0.221,0.143,121.973,307362.0,4.0,low,medium,low,low,high,low,medium,high,low,low,Major,D,4.0
78v5ljpPryjGY4r1wndiqa,,,,,,,,,,,,,,high,high,high,high,high,high,high,high,low,low,,,
79DPYZ6x8FfzgSgPoPhpC3,0.847,0.434,5.0,-6.474,0.0,0.0382,0.0226,0.0673,0.087,0.293,129.967,216348.0,4.0,high,low,low,low,low,low,medium,medium,low,low,Minor,F,4.0
79juTmh89v1xqOLYsr6wSq,0.623,0.606,5.0,-7.995,1.0,0.177,0.659,0.0,0.318,0.931,121.252,184947.0,5.0,medium,medium,high,high,high,high,medium,medium,low,low,Major,F,5.0
79qxwHypONUt3AFq0WPpT9,0.581,0.197,3.0,-7.697,1.0,0.0329,0.88,0.0,0.107,0.349,130.367,214293.0,4.0,medium,low,low,high,low,low,medium,medium,low,low,Major,D#,4.0
79uDOz0zuuWS7HWxzMmTa2,0.497,0.635,2.0,-3.927,1.0,0.0273,0.00621,0.0,0.117,0.203,142.063,294190.0,4.0,low,medium,low,low,medium,low,high,high,low,low,Major,D,4.0
79xizJgR2yV6BfP7Y4q40k,0.145,0.00153,7.0,-44.248,1.0,0.0424,0.981,0.936,0.115,0.0913,139.008,208000.0,3.0,low,low,low,high,medium,low,medium,medium,low,high,Major,G,3.0
7A9G0xZfgNVM17TvBysVzl,0.614,0.663,1.0,-2.41,1.0,0.0425,0.00135,0.911,0.294,0.211,130.008,121846.0,4.0,medium,medium,low,low,high,low,medium,low,low,high,Major,C#,4.0
7ABLbnD53cQK00mhcaOUVG,0.708,0.737,1.0,-4.045,1.0,0.0436,0.0739,0.00162,0.0955,0.607,91.986,197920.0,4.0,medium,medium,medium,low,low,medium,low,medium,low,low,Major,C#,4.0
7AMoKWPFsAWB9mgBV1w21Y,,,,,,,,,,,,,,high,high,high,high,high,high,high,high,low,low,,,
7ANu7MFbuq7X7JzVwhgy1f,0.394,0.821,5.0,-8.694,0.0,0.0329,0.00042,0.857,0.131,0.344,169.98,247092.0,4.0,low,high,low,low,medium,low,high,high,low,high,Minor,F,4.0
7Arg4IzGxDy8yTP19yLVKz,0.83,0.507,11.0,-8.035,0.0,0.174,0.0768,0.0,0.0941,0.219,81.015,240599.0,4.0,high,low,high,low,low,low,low,high,low,low,Minor,B,4.0
7AsqUKKbPMxOFNIbRLBxHt,0.543,0.919,1.0,-4.831,0.0,0.0415,0.000449,0.0,0.243,0.498,125.023,195307.0,4.0,low,high,low,low,high,medium,medium,medium,low,low,Minor,C#,4.0
7AtQxohgEu5dRYdcY4gB6G,0.874,0.202,1.0,-16.814,1.0,0.798,0.0728,0.0,0.14,0.3,134.989,142740.0,4.0,high,low,high,low,medium,low,medium,low,low,low,Major,C#,4.0
7AwVSKaQxpidrtYBerkHKk,,,,,,,,,,,,,,high,high,high,high,high,high,high,high,low,low,,,
7BH39iq4k2366YgJgbf8b4,0.441,0.793,1.0,-5.307,1.0,0.0431,0.14,0.0,0.068,0.348,156.147,207533.0,4.0,low,high,medium,medium,low,low,high,medium,low,low,Major,C#,4.0
7BR95DtUAoZZrGT965MG8m,,,,,,,,,,,,,,high,high,high,high,high,high,high,high,low,low,,,
7CAdT0HdiQNlt1C7xk2hep,0.512,0.76,2.0,-5.889,0.0,0.0682,0.299,0.0,0.103,0.495,130.096,210928.0,4.0,low,high,medium,medium,low,medium,medium,medium,low,low,Minor,D,4.0
7CUE1dPm8bmafjryM08YoR,0.522,0.873,4.0,-4.715,1.0,0.247,0.261,0.0,0.262,0.897,152.086,132600.0,4.0,low,high,high,medium,high,high,high,low,low,low,Major,E,4.0
7CwEDwMKJOimuaw6nOtE2r,0.606,0.667,0.0,-8.083,1.0,0.0272,0.115,0.0,0.107,0.598,136.022,168524.0,4.0,medium,medium,low,medium,low,medium,medium,low,low,low,Major,C,4.0
7D0RhFcb3CrfPuTJ0obrod,0.371,0.268,1.0,-10.506,1.0,0.0281,0.748,0.0517,0.104,0.165,102.617,227093.0,3.0,low,low,low,high,low,low,low,high,low,low,Major,C#,3.0
7DSAEUvxU8FajXtRloy8M0,0.706,0.691,0.0,-4.775,1.0,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600.0,4.0,medium,medium,medium,low,low,medium,medium,medium,low,low,Major,C,4.0
7DlZH8EiVDgQXNoj3dnyZC,0.864,0.556,2.0,-7.683,0.0,0.194,0.255,3.85e-06,0.112,0.726,99.974,230480.0,4.0,high,medium,high,medium,medium,high,low,high,low,low,Minor,D,4.0
