id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7bxyNLXYaEYaZTxAuQTHlD,0.844,0.96,1,-2.682,1,0.0366,0.117,0.447,0.299,0.726,129.986,75692,4
2aHLWvUgwUnDRWYQjmYJPl,0.614,0.939,0,-2.049,1,0.259,0.524,2.33e-05,0.489,0.565,133.01,145111,4
2YSBjsqZ2YxwwHi8xqf9ms,0.954,0.957,5,-2.782,1,0.257,0.513,0.348,0.131,0.493,129.969,87000,4
1tkHHqMZaVoNtQvC32Om8X,0.73,0.762,5,-10.501,0,0.0523,0.000953,0.858,0.0674,0.875,120.031,151214,4
6A3uNmMItYREVU0mKY84DO,0.887,0.9,1,-5.082,1,0.14,0.0583,0.108,0.132,0.695,120.002,80271,4
62ZAFyVwbc9f2M8qCW1qJr,0.615,0.965,11,-2.288,0,0.0903,0.000244,0.000945,0.11,0.721,140.106,126857,4
2FtXfaiyJDRMoqXNLooqwU,0.689,0.744,0,-7.04,0,0.147,0.223,0.344,0.284,0.246,140.109,150131,4
4eDE92gbf1iKImxBIKS64V,0.747,0.801,2,-5.826,1,0.334,0.0287,2.97e-05,0.441,0.707,167.077,149461,4
6hRvewF5MRAsqqxnNs3z2b,0.788,0.871,6,-5.782,0,0.043,0.172,0.00164,0.115,0.401,128.195,91820,4
7FoanMQjdrrecBH8YiIti2,0.824,0.697,7,-2.212,1,0.144,0.00244,0.0589,0.336,0.762,130.069,82514,4
7fuGHAXIjGGycKnIPlhG4L,0.784,0.556,9,-9.045,1,0.0883,0.652,0.864,0.139,0.731,74.979,114105,4
1RDxavHcARHSsw46Mz2hbJ,0.706,0.951,7,-3.509,1,0.0432,0.000964,0.819,0.105,0.279,95.021,131368,4
1fdqbJTHS8cwGbHDU9YU9A,0.756,0.964,1,-1.488,1,0.064,0.202,0.126,0.135,0.207,101.022,101287,4
4mMEvkDeY56be4l7Itb5aZ,0.429,0.822,8,-7.071,1,0.0455,0.00318,7.58e-06,0.559,0.29,148.3,117529,4
2Dp5Rqruog8SR6x7UtlIpY,0.739,0.913,0,-2.749,1,0.0413,0.00311,2.61e-05,0.0839,0.307,154.982,86710,4
7gl5qUaVpN6xOg4mkzGHSl,0.677,0.973,7,-2.568,0,0.0342,0.00142,0.933,0.225,0.536,124.999,86160,3
0Kw4lElym53ZdiikZlr9ts,0.616,0.698,10,-6.722,0,0.3,0.0468,2.52e-05,0.52,0.445,64.967,69357,4
6rm58LPjSArdS4zEHSKXDu,0.673,0.78,5,-2.899,1,0.0586,0.0104,0.73,0.109,0.34,154.942,87677,4
7A9G0xZfgNVM17TvBysVzl,0.614,0.663,1,-2.41,1,0.0425,0.00135,0.911,0.294,0.211,130.008,121846,4
6jdwbcH788txYS6Doy1F1j,0.783,0.89,1,-5.995,1,0.2,0.185,0.00417,0.0969,0.437,127.996,150675,4
29e4KOBzZDOX6qnpYbjwoW,0.825,0.613,0,-6.043,1,0.0941,0.0158,0.391,0.159,0.511,117.052,84138,4
4Zf7vu8xsZeqOvel5fqyEK,0.716,0.977,11,-5.408,1,0.0442,0.00522,0.812,0.0747,0.649,90.0,67030,4
0k9k2Mr1gR7zeSLiNAqimY,0.668,0.881,10,-1.751,0,0.0466,0.0119,0.92,0.149,0.756,122.026,101322,4
6Seth37t5I69wFbuGFrsiG,0.91,0.879,5,1.318,1,0.239,0.143,0.271,0.0704,0.954,130.006,97846,4
2pIC8fTfWwGjbo31YyNtzT,0.746,0.833,7,-3.9,1,0.154,0.127,0.149,0.272,0.572,130.024,102923,4
3xuOs8TPNwItkEYsApFEI2,0.527,0.956,2,-0.678,1,0.0531,0.000861,0.472,0.795,0.547,130.05,125538,4
3F8ydJz1se1vIxZTRcRjIJ,0.685,0.93,8,-4.65,1,0.0398,0.153,0.841,0.168,0.487,124.011,123871,4
5L7h1PCOF5lrX3e3v8sJAx,0.602,0.97,4,-4.837,0,0.0435,0.00231,0.186,0.112,0.0352,122.987,109268,4
7E7YqRQZiASXIENrGYlpSU,0.646,0.861,10,-5.721,0,0.0314,0.0128,0.104,0.0767,0.373,135.993,106763,4
5KAwRUyeAky7zPyRkuuUl9,0.674,0.679,7,-5.404,1,0.432,0.652,0.000561,0.311,0.804,130.38,225692,4
54ggxbEopZwQ20zurJiHSD,0.603,0.708,11,-1.374,1,0.0615,0.178,0.566,0.13,0.627,82.425,125277,4
09m40hbfqNwnF5w2CbqIqt,0.657,0.721,8,-9.7,1,0.03,0.000429,0.655,0.0795,0.536,125.98,125714,4
2G23H0snYYKYqRlyFvVObS,0.751,0.946,0,-6.47,1,0.393,0.0766,0.878,0.22,0.542,148.027,212335,4
4h3KlpOEXS6FxIpab6EKlf,0.905,0.876,2,-5.467,1,0.0422,0.00391,0.841,0.058,0.31,124.976,140160,4
1Y5MJnYsIi3Qlifvss4jPI,0.889,0.884,4,-4.323,1,0.0379,0.0111,0.804,0.0999,0.789,124.003,116129,4
1vKRuWNMzYKX2MxdQawM0N,0.913,0.39,9,-4.538,1,0.12,0.707,3.32e-05,0.11,0.175,130.05,107128,4
5nyZmmFT3guVqrRxSkt12C,0.948,0.842,8,-3.287,0,0.185,0.616,0.101,0.253,0.607,129.979,120938,4
3bzkdI9iT7ygXbHMzl4rkB,0.6,0.599,5,-11.985,0,0.0516,0.352,0.156,0.266,0.418,102.339,132795,4
1aqP9g3lLR8bpFtkCTm41N,0.627,0.993,1,-1.304,1,0.0714,0.00142,0.254,0.239,0.58,109.975,131455,4
0SzDVyiiUDpuhzrphnoejr,0.716,0.942,1,-6.116,1,0.0565,0.000136,0.836,0.0663,0.899,167.371,135827,4
1vyg1TIfJK409mLL6LaxeG,0.56,0.967,1,-0.953,1,0.368,0.662,4.55e-06,0.3,0.402,130.184,153240,4
733RnlYLskyvWMhhzs70sy,0.718,0.87,2,-6.227,1,0.0447,0.000178,0.234,0.0869,0.129,118.937,124034,4
04cMUwER7r2VwqMCj4kYJ9,0.73,0.757,2,-7.379,1,0.0989,0.00189,0.833,0.157,0.259,102.378,136652,4
4oMyggIzClkOcCTvotFLkP,0.725,0.984,9,-1.638,1,0.0351,0.000718,0.895,0.372,0.931,119.983,165000,4
0uLd2Bf1FBtBNQPsWIkpPG,0.815,0.857,7,-8.218,1,0.0612,0.000688,0.666,0.32,0.79,119.983,128026,4
4nyMoK6gePLzCJybQl4O2F,0.854,0.917,8,-3.751,1,0.11,0.014,0.0701,0.103,0.559,129.948,113442,4
2X1cIpDWE6nyBCde1iUBVM,0.715,0.816,7,-6.642,1,0.0715,0.153,1.14e-06,0.123,0.905,135.4,159842,4
6393p1eg8oyVrB4z5jck1L,0.671,0.747,8,-4.77,1,0.129,0.0351,0.0181,0.283,0.619,153.907,87385,4
658QJ4p8WcbT3O7iWLpO1D,0.812,0.974,8,-2.327,1,0.227,0.695,0.512,0.582,0.064,153.979,99748,4
4hx1w2XDXdS7w7cQ4NJxIj,0.925,0.939,1,-5.008,1,0.198,0.405,0.234,0.0856,0.848,130.011,104308,4
