spotify_id,name,artists,popularity
032UZ3KVrzII6AE9Abnj7z,Go Off,{'5cj0lLjcoR7YOSnhnX0Po5': 'Doja Cat'},72
6nmSkbapT1YnObUA8TyF8e,"Big Dawg (Moneybagg Yo, Sexyy Red)","{'3tJoFztHeIJkJWMrx0td2f': 'Moneybagg Yo', '3DbwFQlvLxRSi2uX8mf81A': 'Sexyy Red', '3rO1KMi81CCLjSjkImNtrA': 'CMG The Label'}",57
5hmKP4aC7jSNXYD6Suoq4y,Ochoa,{'3Rx4PJ7SP6unkOk5elPUK7': 'Money Man'},59
02G0mbFgtqS3h1Ek29tBWW,Smack Sh*t,"{'6aLoJJxz7MV2iZ423S8tJC': 'Doe Boy', '1GVenmuuAtusi17LY6FvgI': 'Skilla Baby'}",57
1gxAYSMc1jbibsnpT3Rflc,Hellcats SRTs 2 (with Lil Durk),"{'3DbwFQlvLxRSi2uX8mf81A': 'Sexyy Red', '3hcs9uc56yIGFCSy9leWe7': 'Lil Durk'}",66
1VEPKq5jNdUyemcq29h5ki,Doin Yo Stuff,"{'4qXC0i02bSFstECuXP2ZpL': 'Blxst', '3pcerTbRFAPvWWtAfySFWB': 'Bino Rideaux'}",64
3lcfs9Qjfxzy00VSVkixDv,I Gotta,{'4O15NlyKLIASxsJ0PrXPfz': 'Lil Uzi Vert'},68
0bkV1iQHSxBaksUqgEkcbc,SKITZO (feat. Young Thug),"{'0Y5tJX1MQlPlqiwlOH1tJY': 'Travis Scott', '50co4Is1HCEo8bhOyUWKpn': 'Young Thug'}",77
1hS8xbWKEifaf0VuFpIY69,Bluffin (feat. Lil Baby),"{'13y7CgLHjMVRMDqxdx0Xdo': 'Gucci Mane', '5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}",63
23L1gQJjtlZMrZPZvluyQe,Presidential Rolex,{'0RESbWvOMyua0yuyVrztJ5': 'Key Glock'},61
5nYygW7bTgPOhckh3uDR9L,Hellcat Kenny (feat. Lil Uzi Vert),"{'50co4Is1HCEo8bhOyUWKpn': 'Young Thug', '4O15NlyKLIASxsJ0PrXPfz': 'Lil Uzi Vert'}",63
4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,{'4O15NlyKLIASxsJ0PrXPfz': 'Lil Uzi Vert'},81
48rsYvIQXUAtxcmIoStOaM,ca$h $hit,{'2hlmm7s2ICUX0LVIhVFlZQ': 'Gunna'},73
5e2jIB5KT9kmTDCBzAmvQr,Gorgeous,"{'6AUl0ykLLpvTktob97x9hO': 'Tee Grizzley', '1GVenmuuAtusi17LY6FvgI': 'Skilla Baby'}",66
3IxGpAFxBAAfCQ6dv6sBiw,SHAKE SUMN (with Sexyy Red) - REMIX,"{'4r63FhuTkUYltbVAg5TQnk': 'DaBaby', '3DbwFQlvLxRSi2uX8mf81A': 'Sexyy Red'}",68
4mWbFYZ9P14Ulf1LIFZGhH,06 Gucci (feat. DaBaby & 21 Savage),"{'13y7CgLHjMVRMDqxdx0Xdo': 'Gucci Mane', '4r63FhuTkUYltbVAg5TQnk': 'DaBaby', '1URnnhqYAYcrqrcwql10ft': '21 Savage'}",65
0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,"{'4O15NlyKLIASxsJ0PrXPfz': 'Lil Uzi Vert', '0M2CO5ijP35MDhNwvpgxTV': 'sped up nightcore', '2xzyIzdjfeXX6FIQtlAAyw': 'ARIZONATEARS'}",85
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,"{'3TVXtAsR1Inumwj472S9r4': 'Drake', '1URnnhqYAYcrqrcwql10ft': '21 Savage'}",86
5TGkqW4UfYV1jQVLrhz4Yc,I'm Geekin (feat. NLE Choppa & BIA) - Remix,"{'0WK3H9OErSn5zKOkOV5egm': 'DDG', '0ErzCpIMyLcjPiwT4elrtZ': 'NLE Choppa', '6veh5zbFpm31XsPdjBgPER': 'BIA'}",60
2f9JzwRy6Ofr5ixvN0ojKt,GEEKALEEK (feat. Cash Kidd),"{'3ppQEG71r7jVpI8RudzycF': 'OHGEESY', '26qmuJTgE3g67pPClBQ3Iu': 'Cash Kidd'}",68
1IzJxbARcQrOWMZgPw1PNj,Go Hard,{'5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'},73
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],"{'0iEtIxbK0KxaSlF7G42ZOp': 'Metro Boomin', '1RyvyyTE3xzB2ZywiAwp0i': 'Future', '7bXgB6jMjp9ATFy66eO08Z': 'Chris Brown'}",87
293QwzG48nRXlqk5lGDUbw,Keep It Low (feat. Future),"{'3tJoFztHeIJkJWMrx0td2f': 'Moneybagg Yo', '1RyvyyTE3xzB2ZywiAwp0i': 'Future'}",71
5BmB3OaQyYXCqRyN8iR2Yi,SLUT ME OUT,{'0ErzCpIMyLcjPiwT4elrtZ': 'NLE Choppa'},78
2VjOTvl50tscmc0RDjPdr2,UK Rap,"{'6Ip8FS7vWT1uKkJSweANQK': 'Dave', '5H4yInM5zmHqpKIoMNAx4r': 'Central Cee'}",77
1UFCw2ZU50ZXdjHUtKg9mp,Florida Water (feat. Luh Tyler),"{'4e5oZygHeeRoTXc00gYWiu': 'Danny Towers', '1m7LSAMIB1BErIHYSOn32W': 'DJ Scheme', '2rhFzFmezpnW82MNqEKVry': 'Ski Mask The Slump God', '1K15GRZZATsCJyGJ4bYiEz': 'Luh Tyler'}",62
2beD5W9IkefQ04IO39XF7w,My wrist (with Young Thug),"{'3qiHUAX7zY4Qnjx8TNUzVx': 'Yeat', '50co4Is1HCEo8bhOyUWKpn': 'Young Thug'}",78
3iRCr53b2ZOvoKMTNvBn5d,MVP (feat. G-Eazy),"{'31W5EY0aAly4Qieq6OFu6I': 'A Boogie Wit da Hoodie', '02kJSzxNuaWGqwubyUba0Z': 'G-Eazy'}",66
31yydnZnSeCwkRPY7tlgQJ,Hot Boy (feat. Lil Baby),"{'0Njy6yR9LykNKYg9yE23QN': 'Nardo Wick', '5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}",69
451acSEXA7pfbMKXoC6vJX,FreakyT (feat. Latto) - Remix,"{'39i5B6umzWzkfMe12JrMwW': 'TiaCorine', '3MdXrJWsbVzdn6fe5JYkSQ': 'Latto'}",59
0yUaLqhsVsguBpoOPL4cO7,In Ha Mood,{'3LZZPxNDGDFVSIPqf4JuEf': 'Ice Spice'},77
6UN73IYd0hZxLi8wFPMQij,Players,{'6AMd49uBDJfhf30Ak2QR5s': 'Coi Leray'},80
2i2qDe3dnTl6maUE31FO7c,Mad Max,"{'3hcs9uc56yIGFCSy9leWe7': 'Lil Durk', '1RyvyyTE3xzB2ZywiAwp0i': 'Future'}",69
0WNfQxDGaPTl0yogcMR5v1,Tomorrow 2 (with Cardi B),"{'2qoQgPAilErOKCwE2Y8wOG': 'GloRilla', '4kYSro6naA4h99UJvo89HB': 'Cardi B'}",73
1KaRuTOGchQyTnrY3vWzfR,Aston Martin Truck,{'757aE44tKEUQEqRuT6GnEB': 'Roddy Ricch'},61
6Md6lyVVoKWcOaSg8u1tDn,Shoot It Myself (feat. Future),"{'4FlG0V0jhLO4qGpayFOphj': 'EST Gee', '1RyvyyTE3xzB2ZywiAwp0i': 'Future'}",62
3wspfG772mi1c25JpnNOVP,Walk,{'46SHBwWsqBkxI7EeeBEQG7': 'Kodak Black'},64
2TSfStvlAMLw89u3tali79,Dah Dah DahDah,{'0Njy6yR9LykNKYg9yE23QN': 'Nardo Wick'},74
0HrWshW3SuFJ6nKS9ba9Mh,Vette Motors,{'7wlFDEWiM5OoIAt8RSli8b': 'YoungBoy Never Broke Again'},71
1fSln3JhzB7Asdi83JTvPa,Promised,{'3ooxJFdCXxyk6heox7EOPV': 'Macroix'},77
569aPavFjL3WvPwZepX67d,Melancholy,{'5JkM7qUhOcmY5SqK3SnU3O': 'Jonas Sandberg'},75
6q8NVcrqyUPpHWbNfJQMiN,My Armour,{'0V4IA3EpmXCk58fcNVYFA6': 'South Noon'},72
6OA8XPGALjJXIhQ7996ftt,Sakalas,{'0eUKr3LcMQaxwzgIqKKDZ8': 'Gabriel Derus'},72
7dbvv8ZyduO9ztNjkVkyty,Spherical,{'5Ke2xVrUo5hNYxTp5fx5XS': 'Aiden Gaarder'},71
5NWOEqOSCqHebuRMjYEn1i,Isolate,{'2J2lnOLZ6awcRhTfLGfKzI': 'Mystery Ark'},71
475L4j7qFaZE0jlcvrsScN,Protect Your Mind,{'601K9Ks46CQk3kNbZsaOlr': 'Treasures Meditation Flow'},73
76tZM5yJNhGTEiFEVUOX0G,Aesolace,{'7MB8ZbCZVAb7XBuuFbdbXl': 'Pollux Pluto'},71
45QSxAYVRenwmZrXV1RNpq,Nordic Dusk,{'4g6MelMNF907IHJh15KX4V': 'Frej Simdo'},70
5YLpYxzjxq3lxdDGBWiGrN,Forward Momentum,{'6EDn2Y3RQU5ilTmJ9sxSS1': 'Ceylan Aydem Project'},70
6V5tAhkj0iaXam3mPWZXHH,Times of Balance,{'4pgvre1wDhGGmEbjevWClj': 'Phobic'},69
0N5NNIaNs3YVhiyt22ZYhG,The New World,{'3ddw8VOjGZrR2G6dFCjamb': 'Cardi Mist'},70
37OBlWR4QwbMJvReT8myht,Following,{'2Bua1ZVpNERP8WJ6gGyilw': 'Aquilonius'},69
0CMYUXTTTmI6Lwc0opH2XG,Herinneringen,{'58PoZ2UB30eX8jppZ6B87i': 'Sohn Aelia'},71
5kDLhUYHZr5Q6geAcM3lF3,Scorchio,{'02CZQLikIIoZB7rhBk5PvT': 'Maria Botican'},69
6hG52cOsuNKGVpnmaOisg7,Boundless,{'4YtWA8Xtf6Qj764Q1xGfEx': 'Haldur'},67
6y1R5SobrAlv2kkcEKeptu,The Vastness,{'5TIC0VIC8D9AbwXrA0vN4f': 'Iseo Ander'},67
3wyzKHfvroiGn3KKBg0GvM,Whishing star,{'6udcxtqGILdecn8PeWtJAG': 'Artivastix'},67
3IftdsEdhYBjFenO3VWDht,Snowflake,{'4acmjvEdOPeKKwiRv3hZ4h': 'Amanda Wildt'},67
3cwVEUzKMyQLvq51b6I8Ul,Tranquillizing,{'0tMQJ9EVT0vfsG67K867kR': 'Secret Medicine'},67
7rvrtcrQ9unsg7wybxu8tv,Reminded Me,{'03NS5oA1PstBjCg4kwn6lH': 'Arietis'},68
7qn3PsJXdMpoKkMOFgc7lh,Foraoise,{'1RrAteipTwd9WxNC0EFE6o': 'Neave Abeline'},67
6FqTyMzdm5ri8zWrPhAZ0E,Density,{'5O2OGECehpgmmdVmWInftr': 'Obviame'},67
0KkCsYHv7QgzKpNm4pcVj9,Languid,{'1MhNxd0tQVdZHLw2xNATuF': 'Neoline Ewing'},67
7Hm3jiAs1f0oypQythNWxy,Mudita,{'3IbbzLtE2xQEMIw5htkA9i': 'Gamini Khatri'},70
3qfofCNp0UgwHKmgM1EJ6A,Flying Spirits.,{'2LJPtJzLybu9EKKX8X84DJ': 'Ashlynn Vinno'},70
06Uu0bQNx2WMFIWY09nTxN,Dimmed Lights,{'30C9fRGfoh7b2dg9g7coHv': 'Nicolaj Stavrenko'},67
15SPWU4M4H0yhK5Nto68Kb,Straight Ahead,{'1WqcMxEzhN5xfMVkGWO8qM': 'Garcíia'},68
5F820xSuKiMLpGOV04Xs3c,Fjord,{'0VYt8sIrhLaI1J5XBw4Ez5': 'Reiki Akoya'},70
7kabmQdunJ6Jk5PAeTSwtL,Cwsg,{'3Tye8bBNb5g7QNBcpoFQRo': 'Ymlacio'},70
2PRfOo8S4BVIw0o97yqzg2,Geteilt,{'7JshNZgXnBP253y6KE0aQR': 'Celine Brandt'},67
3qJ6bQyPFO10b9fL9NmdOE,Coral Dusk,{'0cNkXhcvWBfK1vKVAUC7Ye': 'Stellar Serenity'},67
5lATrmvuPq7nPLJsq4DkBQ,Sumi,{'1oSjfZFemVPG0PZa6j94vl': 'Zamphire'},67
2BfcCsrfgB9wH1dvdno9CY,Wandering Sadhu,{'5KNC8OGbrY5TThciLb1ZpN': 'Salen'},67
4vU3FDQiL394Dl21OYfNbg,Noticed,{'1xCASyEEWKBXSyHdRq9JOJ': 'Avieone'},67
4prgJBJailmHXaefkOyK9e,Sweven,{'3hg9opvN3lCbZsoG6T0gpn': 'Corbin Tellier'},66
6qSypfhInkt0jQC5aRcrTV,Lo´s Magma,{'5NlnY2fSvi51YebjxNah6F': 'Robi Dixie'},67
5VzaFU0O3pTmG3fnjs0Ff0,Passages,{'3EY39ZsyVU9c2Uw17ILmcJ': 'Kim Nalah'},69
2n3Nzq9Mv1CUXzac82tw4M,Curved,{'6KPAXAMmjjuL3dlucR4I29': 'Lugar'},69
7iCh93sK4It7gBOBgs8gml,Dream Reflection,{'1hYkH9ClWy5ZfmmTTntt2K': 'Fabio Secci'},66
1155sK5VOJc7DC23kdiJjU,Agbaye,{'5KKzkIqyec5NR4h5vxE0Wx': 'Torpor Snooze'},66
4TRjCifQWpux6KRamNuNMz,Sincerely,{'50KqMF1pahD2xMCrkMKTr6': 'Kelly Petersen'},67
3Dm8skAbA9W4ufmCESqlDg,Aquiver,{'13ZKAALykJ7sZ130Vh7Y2n': 'Chév Asto'},67
2zP7XSG2knSBpMJGf77WjF,Universal Truth,{'5WSATrMjcuhKibg0jp4uHI': 'Arush Mandal'},67
3W2UlaHx93we9YqM1BvjFZ,Droplet of Grace,{'0V4IA3EpmXCk58fcNVYFA6': 'South Noon'},68
0IThMukvMBCyCXWblM4fh7,Simplicity,{'3PiRnA3K7grsa4ZQ41OGUO': 'Tiara Greenfield'},66
2APApFAWZgn1F0Efpl6jlj,Your Are The Calm,{'5JT8XbqZDGSHR91TqvUKi0': 'Takhall'},67
6f9yi7FErSjPN4hWCJURLq,Before The Full Moon,{'6Cus1UHddFX9FPj4CoBEK4': 'Isah Atkins'},69
6ZRIH4QEe0sAkUCup8OmZM,Drone,{'5z98YuplLBTQttqAgkNyfA': 'Ayala Cola'},69
79xizJgR2yV6BfP7Y4q40k,Natural Connection,{'6RJ9f6LmApkHiTkaAfghlA': 'Certificate 16'},67
4zW4yUJtrt37ZXod5wrUit,Myriad,{'3TNlVudGOBeQObBQQIQUcu': 'Merlin Loughty'},66
3aROTIlJEYc90xE8hlm4Be,Mindvibe,{'0pwSi22Ps7HUNFmaAQHTJF': 'Sir Dejvid'},67
1aZQokBzBRVdm8d24yPi8P,Spiritual,{'1J7K4Jr0deYSXtXoUtyp1D': 'Sleep Cyclone'},69
4xjBcSiWiaDYVx8956zMy2,Perdonar,{'3UJgE628TwNqsowj6m4m4k': 'Salina Cardenas'},66
4dZYpUveESOpInSlQLCXVQ,Unavene,{'7uawp9f3qhlML7nNn4vB4B': 'Nova Kral'},66
5bzTyAoRBcLaZlLU4jGmzQ,Infinito,{'0gMFBXqBiYu46TA6G2fr1X': 'Max Moller'},65
1h0MiBktrie45IljioHmg1,Amicale,{'5qGVbZoaFJ7i9M63PhgFWT': 'Lenovie'},65
3ztpmZj6p47tlck3NVQrV7,Drommenes Verden,{'2txNKTOHpcXh0tC1wZ2FD4': 'Casper Bjerke'},69
7k59hF8Vc7Ob9HYO8fnbLF,Inner Peace,{'06r7F3mEYRJxjksrVsurYJ': 'Sabrina McGregor'},73
57LIE4xGtrUqicdDiikdMp,Arcadia,{'7E9YFx8NvGyjVR7WKZfaZo': 'Elsa Whage'},67
4Oj1fwRRrCbBlZsZzbQ3my,Currently,{'4VP55atE7tT1o1C8xSPStS': 'Loe Vida'},65
0GocVBngN9RHyWlfQnS4Th,Haverzh,{'6mkoUM994JIaNGMTix01yW': 'Iota Psi'},65
5I9nwDidj4Y6mVRYS7HuPS,Nomad,{'2ADOcw9Ra8kN4CVAMhOqgw': 'Hatchlings Calm'},66
7sI08QGDLTQzc7JKnjdazH,Anochecer,{'0VWtwOJIkPQtVfH1JtQEic': 'Lyla Perez-Vega'},66
5ivvtayl4QgwCtjUd4JOB1,World Beyond,{'5zL5lmsaGzjnU7dn85w2bz': 'Evolving Stream'},69
6MePLoqcI97WjWyx5Sq2JV,Forms,{'66vglaSm3akRPCCPcc86mm': 'Zonara'},67
1b6zd9iiSYGSCz5tYW14l6,Perfection,{'7mpuCc5RJrH5047X6M7Rcd': 'Mundo Suave'},66
2C1IIUSDxqBsNr3k772BdT,Bywyd,{'07xmi3luGn1Zgl4LbQs9i3': 'Carwyn'},66
5f5kXzWQutNq2FAcRNwY8I,Momenti,{'033LMiTBVqCY9QjIyBTemd': 'Momenti'},66
6BLpFHyW0XELB7qh45o6cI,I Believe I Can Fly,{'2oQleEdjzH9yC8cfsR8e8j': 'Cosmic Cloak'},68
5S2fFnqCM8jYc4GL6k8dWK,Evermore,{'5u8vwlOeUEwxaklbfP6cnG': 'Aari Kumar'},66
3k51Bto34GhHnfJq8rnPoI,Focused,{'0CyEMzIzthRVDjMTutlWC6': 'Anda Mané'},66
0j8jhVHMHLb3MFEmC0jGgt,Sundown,{'6D5yKUrf0oCHcM4zWs9MqH': 'Bo Pettri'},67
3exsS4AVm9MhF7iW7R0WqT,Within Reach,{'19f60nUZGFKTsf9mhvQbtl': 'Unwritten Skies'},66
2PUqgdcUOpaeqyV9ePLMoR,Calm Restore,{'5R64qcoeryTQQVE72MZgoU': 'Cornelia Benton'},65
1SucXU3xTOCyBAAqE22E8B,Merikarp,{'2V39QR1IlcAPJjdsrdz2pM': 'Fabien Tamm'},66
4E22XbJSOj8T2Ua6ye19Cx,More Than Words,{'3J5btrvXNSchP5VZiE3vcj': 'Emeli Saga'},66
7hTThtkyA0rnNSgOQgoVQp,Wholeness,{'4oQZmRxjpBOfuINrvgElwz': 'Monet Benitez'},66
